,loss,amp_loss,phi_loss,noise,PSNR
0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.0,149.417
1,1.079331636428833,1.079331636428833,0.9999999403953552,0.001,51.8344
2,1.2945753335952759,1.2945753335952759,0.9999999403953552,0.002,44.7015
3,1.9639607667922974,1.9639607667922974,0.9999999403953552,0.003,39.4253
4,3.236966133117676,3.236966133117676,0.9999999403953552,0.004,35.3165
5,3.3676748275756836,3.3676748275756836,0.9999999403953552,0.005,35.7945
6,5.818948268890381,5.818948268890381,0.9999999403953552,0.006,32.6158
7,6.497003078460693,6.497003078460693,0.9999999403953552,0.007,31.473
8,12.143640518188477,12.143640518188477,0.9999999403953552,0.008,29.1361
9,13.879680633544922,13.879680633544922,0.9999999403953552,0.009,27.7
10,15.203389167785645,15.203389167785645,0.9999999403953552,0.01,27.4315
11,24.855436325073242,24.855436325073242,0.9999999403953552,0.011,25.3619
12,45.49942398071289,45.49942398071289,0.9999999403953552,0.012,23.233
13,47.891151428222656,47.891151428222656,0.9999999403953552,0.013,23.0783
14,64.39139556884766,64.39139556884766,0.9999999403953552,0.014,22.2096
15,90.3908462524414,90.3908462524414,0.9999999403953552,0.015,20.6159
16,109.36526489257812,109.36526489257812,0.9999999403953552,0.016,20.5893
17,127.88011169433594,127.88011169433594,0.9999999403953552,0.017,19.7187
18,127.56214141845703,127.56214141845703,0.9999999403953552,0.018,19.3399
19,122.51292419433594,122.51292419433594,0.9999999403953552,0.019,19.3433
20,146.66806030273438,146.66806030273438,0.9999999403953552,0.02,19.1731
21,161.63722229003906,161.63722229003906,0.9999999403953552,0.021,18.3955
22,193.11170959472656,193.11170959472656,0.9999999403953552,0.022,17.6599
23,169.15676879882812,169.15676879882812,0.9999999403953552,0.023,17.699
24,281.9463195800781,281.9463195800781,0.9999999403953552,0.024,16.5058
25,324.71307373046875,324.71307373046875,0.9999999403953552,0.025,16.1608
26,658.7667236328125,658.7667236328125,0.9999999403953552,0.026,15.1135
27,711.5115356445312,711.5115356445312,0.9999999403953552,0.027,15.4469
28,629.2355346679688,629.2355346679688,0.9999999403953552,0.028,15.4967
29,793.3425903320312,793.3425903320312,0.9999999403953552,0.029,14.7627
30,789.296630859375,789.296630859375,0.9999999403953552,0.03,14.8995
31,1180.4146728515625,1180.4146728515625,0.9999999403953552,0.031,14.0027
32,1491.0809326171875,1491.0809326171875,0.9999999403953552,0.032,13.8327
33,2304.374755859375,2304.374755859375,0.9999999403953552,0.033,13.3561
34,4236.453125,4236.453125,0.9999999403953552,0.034,12.5976
35,5307.76708984375,5307.76708984375,0.9999999403953552,0.035,12.6174
36,6150.22802734375,6150.22802734375,0.9999999403953552,0.036,12.5817
37,4931.99609375,4931.99609375,0.9999999403953552,0.037,12.8497
38,5830.59619140625,5830.59619140625,0.9999999403953552,0.038,12.9229
39,16479.349609375,16479.349609375,0.9999999403953552,0.039,12.3069
40,16280.34765625,16280.34765625,0.9999999403953552,0.04,12.3285
41,19235.701171875,19235.701171875,0.9999999403953552,0.041,12.3026
42,11525.8359375,11525.8359375,0.9999999403953552,0.042,12.6098
43,17739.98828125,17739.98828125,0.9999999403953552,0.043,12.6521
44,23199.0,23199.0,0.9999999403953552,0.044,12.5883
45,30250.158203125,30250.158203125,0.9999999403953552,0.045,12.4539
46,92660.125,92660.125,0.9999999403953552,0.046,12.0464
47,118612.8671875,118612.8671875,0.9999999403953552,0.047,11.8703
48,191275.796875,191275.796875,0.9999999403953552,0.048,11.8982
49,111556.0625,111556.0625,0.9999999403953552,0.049,12.0706
50,112197.265625,112197.265625,0.9999999403953552,0.05,12.0946
51,155670.4375,155670.4375,0.9999999403953552,0.051,11.8924
52,333221.0,333221.0,0.9999999403953552,0.052,11.7558
53,188368.75,188368.75,0.9999999403953552,0.053,11.9881
54,395273.21875,395273.21875,0.9999999403953552,0.054,11.9382
55,732729.125,732729.125,0.9999999403953552,0.055,11.8968
56,748693.3125,748693.3125,0.9999999403953552,0.056,11.9694
57,1022830.5,1022830.5,0.9999999403953552,0.057,11.8483
58,897062.3125,897062.3125,0.9999999403953552,0.058,11.8842
59,1398861.875,1398861.875,0.9999999403953552,0.059,11.7458
60,3626336.75,3626336.75,0.9999999403953552,0.06,11.6113
61,2449180.25,2449180.25,0.9999999403953552,0.061,11.8486
62,2155123.5,2155123.5,0.9999999403953552,0.062,11.8635
63,5648683.0,5648683.0,0.9999999403953552,0.063,11.7752
64,8827426.0,8827426.0,0.9999999403953552,0.064,11.6844
65,16904810.0,16904810.0,0.9999999403953552,0.065,11.6376
66,14632453.0,14632453.0,0.9999999403953552,0.066,11.7103
67,6255895.0,6255895.0,0.9999999403953552,0.067,11.8132
68,9367007.0,9367007.0,0.9999999403953552,0.068,11.8398
69,43213404.0,43213404.0,0.9999999403953552,0.069,11.6859
70,231265248.0,231265248.0,0.9999999403953552,0.07,11.5603
71,636218816.0,636218816.0,0.9999999403953552,0.071,11.5627
72,1117095936.0,1117095936.0,0.9999999403953552,0.072,11.6078
73,257698784.0,257698784.0,0.9999999403953552,0.073,11.7343
74,278751648.0,278751648.0,0.9999999403953552,0.074,11.7059
75,566267328.0,566267328.0,0.9999999403953552,0.075,11.6345
76,3678334720.0,3678334720.0,0.9999999403953552,0.076,11.6608
77,12643825664.0,12643825664.0,0.9999999403953552,0.077,11.6953
78,10141130752.0,10141130752.0,0.9999999403953552,0.078,11.6274
79,857388160.0,857388160.0,0.9999999403953552,0.079,11.7033
80,2381483776.0,2381483776.0,0.9999999403953552,0.08,11.6982
81,6072462848.0,6072462848.0,0.9999999403953552,0.081,11.7006
82,3795638272.0,3795638272.0,0.9999999403953552,0.082,11.6692
83,944751232.0,944751232.0,0.9999999403953552,0.083,11.6978
84,6021005824.0,6021005824.0,0.9999999403953552,0.084,11.705
85,6232145408.0,6232145408.0,0.9999999403953552,0.085,11.6709
86,11947269120.0,11947269120.0,0.9999999403953552,0.086,11.6385
87,22360494080.0,22360494080.0,0.9999999403953552,0.087,11.7167
88,17464625152.0,17464625152.0,0.9999999403953552,0.088,11.5529
89,43887570944.0,43887570944.0,0.9999999403953552,0.089,11.5833
90,104123375616.0,104123375616.0,0.9999999403953552,0.09,11.4598
91,97813504000.0,97813504000.0,0.9999999403953552,0.091,11.486
92,508329951232.0,508329951232.0,0.9999999403953552,0.092,11.3911
93,648987082752.0,648987082752.0,0.9999999403953552,0.093,11.4005
94,223911247872.0,223911247872.0,0.9999999403953552,0.094,11.3745
95,815105114112.0,815105114112.0,0.9999999403953552,0.095,11.4883
96,709095718912.0,709095718912.0,0.9999999403953552,0.096,11.4538
97,1239551049728.0,1239551049728.0,0.9999999403953552,0.097,11.3611
98,3100474605568.0,3100474605568.0,0.9999999403953552,0.098,11.358
99,126028399771648.0,126028399771648.0,0.9999999403953552,0.099,11.3531
100,153008948117504.0,153008948117504.0,0.9999999403953552,0.1,11.3534
101,393948023488512.0,393948023488512.0,0.9999999403953552,0.101,11.3531
102,5832747050336256.0,5832747050336256.0,0.9999999403953552,0.102,11.3525
103,2231725270761472.0,2231725270761472.0,0.9999999403953552,0.103,11.3526
104,543794432835584.0,543794432835584.0,0.9999999403953552,0.104,11.353
105,1578635899174912.0,1578635899174912.0,0.9999999403953552,0.105,11.3531
106,928966462406656.0,928966462406656.0,0.9999999403953552,0.106,11.3549
107,3319687328825344.0,3319687328825344.0,0.9999999403953552,0.107,11.3673
108,4108377005228032.0,4108377005228032.0,0.9999999403953552,0.108,11.3942
109,3.636590384806625e+17,3.636590384806625e+17,0.9999999403953552,0.109,11.3591
110,5.716417646375731e+17,5.716417646375731e+17,0.9999999403953552,0.11,11.3642
111,2.7573566345261875e+18,2.7573566345261875e+18,0.9999999403953552,0.111,11.3557
112,6.219386148125409e+17,6.219386148125409e+17,0.9999999403953552,0.112,11.3564
113,9.861004393447424e+16,9.861004393447424e+16,0.9999999403953552,0.113,11.3577
114,5.827413774696448e+16,5.827413774696448e+16,0.9999999403953552,0.114,11.3582
115,4.081339058670797e+17,4.081339058670797e+17,0.9999999403953552,0.115,11.3583
116,1.217412775018496e+17,1.217412775018496e+17,0.9999999403953552,0.116,11.3665
117,2.6535873040770662e+17,2.6535873040770662e+17,0.9999999403953552,0.117,11.3615
118,5.119877956323246e+17,5.119877956323246e+17,0.9999999403953552,0.118,11.3768
119,4.1286410796898714e+17,4.1286410796898714e+17,0.9999999403953552,0.119,11.3619
120,7.164951029727887e+17,7.164951029727887e+17,0.9999999403953552,0.12,11.371
121,3.7538330276632986e+17,3.7538330276632986e+17,0.9999999403953552,0.121,11.4192
122,6.939670717923328e+17,6.939670717923328e+17,0.9999999403953552,0.122,11.4135
123,1.504147739765008e+19,1.504147739765008e+19,0.9999999403953552,0.123,11.409
124,7.465767790360658e+17,7.465767790360658e+17,0.9999999403953552,0.124,11.4027
125,6.696751490830172e+17,6.696751490830172e+17,0.9999999403953552,0.125,11.3809
126,1.50181784713796e+18,1.50181784713796e+18,0.9999999403953552,0.126,11.371
127,6.86098939096177e+18,6.86098939096177e+18,0.9999999403953552,0.127,11.4136
128,5.265638151233208e+19,5.265638151233208e+19,0.9999999403953552,0.128,11.3979
129,2.5490270097019345e+20,2.5490270097019345e+20,0.9999999403953552,0.129,11.3688
130,2.6738068899791634e+19,2.6738068899791634e+19,0.9999999403953552,0.13,11.3863
131,1.6696383134941315e+19,1.6696383134941315e+19,0.9999999403953552,0.131,11.3978
132,2.6654010796043508e+20,2.6654010796043508e+20,0.9999999403953552,0.132,11.3599
133,1.5583994026980803e+20,1.5583994026980803e+20,0.9999999403953552,0.133,11.359
134,1.9888471218951763e+20,1.9888471218951763e+20,0.9999999403953552,0.134,11.3632
135,4.209570163011103e+20,4.209570163011103e+20,0.9999999403953552,0.135,11.3605
136,1.0070731062143976e+22,1.0070731062143976e+22,0.9999999403953552,0.136,11.4084
137,6.186064734442709e+22,6.186064734442709e+22,0.9999999403953552,0.137,11.4061
138,5.697934432710791e+22,5.697934432710791e+22,0.9999999403953552,0.138,11.4068
139,7.11797884273579e+23,7.11797884273579e+23,0.9999999403953552,0.139,11.4067
140,1.1248048619975484e+25,1.1248048619975484e+25,0.9999999403953552,0.14,11.4052
141,6.702342592932919e+27,6.702342592932919e+27,0.9999999403953552,0.141,11.4049
142,3.917051881812919e+27,3.917051881812919e+27,0.9999999403953552,0.142,11.405
143,7.558358291437165e+27,7.558358291437165e+27,0.9999999403953552,0.143,11.4049
144,1.8154144770691423e+27,1.8154144770691423e+27,0.9999999403953552,0.144,11.4049
145,1.3059286106705622e+29,1.3059286106705622e+29,0.9999999403953552,0.145,11.4049
146,6.137041805576127e+30,6.137041805576127e+30,0.9999999403953552,0.146,11.4049
147,6.972531799553345e+29,6.972531799553345e+29,0.9999999403953552,0.147,11.4049
148,2.4054061257056444e+29,2.4054061257056444e+29,0.9999999403953552,0.148,11.4049
149,9.41454684360215e+29,9.41454684360215e+29,0.9999999403953552,0.149,11.4049
150,1.604777698915063e+31,1.604777698915063e+31,0.9999999403953552,0.15,11.4049
151,5.008581181820683e+29,5.008581181820683e+29,0.9999999403953552,0.151,11.405
152,6.591700615777497e+28,6.591700615777497e+28,0.9999999403953552,0.152,11.4051
153,4.026196160438299e+28,4.026196160438299e+28,0.9999999403953552,0.153,11.4195
154,6.881639769615711e+30,6.881639769615711e+30,0.9999999403953552,0.154,11.4066
155,6.747227165750588e+30,6.747227165750588e+30,0.9999999403953552,0.155,11.4062
156,3.191972297139323e+31,3.191972297139323e+31,0.9999999403953552,0.156,11.4061
157,1.823977219549834e+29,1.823977219549834e+29,0.9999999403953552,0.157,11.4087
158,8.40336143130336e+28,8.40336143130336e+28,0.9999999403953552,0.158,11.4088
159,6.86957280571173e+27,6.86957280571173e+27,0.9999999403953552,0.159,11.4844
160,1.0425819950246529e+28,1.0425819950246529e+28,0.9999999403953552,0.16,11.3574
161,2.225607122026184e+29,2.225607122026184e+29,0.9999999403953552,0.161,11.7742
162,1.2872295505556729e+29,1.2872295505556729e+29,0.9999999403953552,0.162,11.789
163,2.0039577509968958e+30,2.0039577509968958e+30,0.9999999403953552,0.163,11.789
164,1.1172136846241144e+31,1.1172136846241144e+31,0.9999999403953552,0.164,11.7886
165,1.3403578168714924e+31,1.3403578168714924e+31,0.9999999403953552,0.165,11.7876
166,7.376388744373342e+32,7.376388744373342e+32,0.9999999403953552,0.166,11.7879
167,2.4339084643028133e+34,2.4339084643028133e+34,0.9999999403953552,0.167,11.7878
168,1.7737999145210134e+35,1.7737999145210134e+35,0.9999999403953552,0.168,11.7877
169,inf,inf,0.9999999403953552,0.169,11.7877
170,inf,inf,0.9999999403953552,0.17,11.7877
171,2.2075746984978295e+35,2.2075746984978295e+35,0.9999999403953552,0.171,11.7876
172,inf,inf,0.9999999403953552,0.172,11.7878
173,inf,inf,0.9999999403953552,0.173,11.3522
174,inf,inf,0.9999999403953552,0.174,11.3522
175,inf,inf,0.9999999403953552,0.175,11.3522
176,inf,inf,0.9999999403953552,0.176,11.3585
177,inf,inf,0.9999999403953552,0.177,11.3522
178,inf,inf,0.9999999403953552,0.178,11.3524
179,inf,inf,0.9999999403953552,0.179,11.3525
180,6.5168067380138565e+35,6.5168067380138565e+35,0.9999999403953552,0.18,11.389
181,inf,inf,0.9999999403953552,0.181,11.3545
182,2.8049356329555666e+35,2.8049356329555666e+35,0.9999999403953552,0.182,11.5994
183,inf,inf,0.9999999403953552,0.183,11.786
184,inf,inf,0.9999999403953552,0.184,11.3522
185,inf,inf,0.9999999403953552,0.185,11.3522
186,inf,inf,0.9999999403953552,0.186,11.7877
187,4.351520467398828e+35,4.351520467398828e+35,0.9999999403953552,0.187,11.7591
188,inf,inf,0.9999999403953552,0.188,11.773
189,inf,inf,0.9999999403953552,0.189,11.7792
190,inf,inf,0.9999999403953552,0.19,11.3522
191,inf,inf,0.9999999403953552,0.191,11.691
192,inf,inf,0.9999999403953552,0.192,11.3522
193,inf,inf,0.9999999403953552,0.193,11.3522
194,inf,inf,0.9999999403953552,0.194,11.3522
195,inf,inf,0.9999999403953552,0.195,11.3522
196,inf,inf,0.9999999403953552,0.196,11.3522
197,inf,inf,0.9999999403953552,0.197,11.3522
198,inf,inf,0.9999999403953552,0.198,11.3522
199,inf,inf,0.9999999403953552,0.199,11.3522
200,inf,inf,0.9999999403953552,0.2,11.3522
201,inf,inf,0.9999999403953552,0.201,11.7885
202,inf,inf,0.9999999403953552,0.202,11.7932
203,inf,inf,0.9999999403953552,0.203,11.4453
204,inf,inf,0.9999999403953552,0.204,11.3587
205,inf,inf,0.9999999403953552,0.205,11.3784
206,inf,inf,0.9999999403953552,0.206,11.4054
207,inf,inf,0.9999999403953552,0.207,11.3761
208,inf,inf,0.9999999403953552,0.208,11.3757
209,inf,inf,0.9999999403953552,0.209,11.3522
210,inf,inf,0.9999999403953552,0.21,11.3599
211,inf,inf,0.9999999403953552,0.211,11.3522
212,inf,inf,0.9999999403953552,0.212,11.3575
213,inf,inf,0.9999999403953552,0.213,11.3792
214,inf,inf,0.9999999403953552,0.214,11.3777
215,inf,inf,0.9999999403953552,0.215,11.3777
216,inf,inf,0.9999999403953552,0.216,11.3765
217,inf,inf,0.9999999403953552,0.217,11.3522
218,inf,inf,0.9999999403953552,0.218,11.3782
219,inf,inf,0.9999999403953552,0.219,11.3597
220,inf,inf,0.9999999403953552,0.22,11.3522
221,inf,inf,0.9999999403953552,0.221,11.3522
222,inf,inf,0.9999999403953552,0.222,11.3522
223,inf,inf,0.9999999403953552,0.223,11.3522
224,inf,inf,0.9999999403953552,0.224,11.3522
225,inf,inf,0.9999999403953552,0.225,11.3522
